"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os04g0688300",11629.3918681525,6.70209575651048,0.187380599653987,35.7672873759954,3.56369417146823e-280,1.04327146869733e-275
"Os11g0206000",5416.25641327975,-11.98178479398,0.391695807928841,-30.5895150048598,1.68744480369622e-205,2.46999733141034e-201
"Os05g0103800",4007.20316945813,6.06256696983808,0.203168265731751,29.8401275809612,1.1790638701693e-195,1.15056982664021e-191
"Os03g0223301",2527.78107142016,9.067216089553,0.361632685153114,25.072999377017,9.80126764005715e-139,7.17330275406683e-135
"Os12g0179700",1479.32048755811,7.54673655527329,0.318132660910115,23.7219797982501,2.13918764295978e-124,1.25249436495295e-120
"Os10g0529800",9194.03007557927,9.26086474205281,0.403933015938465,22.9267338311944,2.5151192295301e-116,1.22716859074156e-112
"Os12g0508500",1812.64065345844,4.23321803935754,0.189405009592195,22.3500848708914,1.20514502821612e-110,5.04008867157526e-107
"Os06g0347100",10348.5773191231,11.9878964160706,0.536908858403948,22.3276189774679,1.99264694472546e-110,7.29184241335472e-107
"Os12g0285100",6725.79263216323,-4.61122980521117,0.208856859765132,-22.0784216060544,5.09574868948549e-108,1.65753380982986e-104
"Os01g0124650",5445.9275024302,6.34538046603184,0.288981366061552,21.9577495688089,7.3027206702472e-107,2.13787147621487e-103
"Os07g0220600",2470.25761189441,-2.9790465103188,0.139822557692441,-21.3059077124854,1.00069114371828e-100,2.66320302112296e-97
"Os09g0380400",2693.49293070289,2.92025243809926,0.139260468062823,20.9697158046452,1.24002503634499e-97,3.02514441158331e-94
"Os11g0100100",2695.26973333265,9.81100905702695,0.475541289326494,20.631245440164,1.43896020218993e-94,3.2404276860854e-91
"Os03g0847500",2873.20086470199,-3.53516755644328,0.174172048185266,-20.296985614379,1.36718569982851e-91,2.85888295446282e-88
"Os06g0244000",3312.04095696697,-4.73301842470732,0.234279315927286,-20.2024596408516,9.31405607085724e-91,1.81779327649564e-87
"Os04g0367400",910.612586820867,-2.46300052768057,0.122616818743654,-20.0869713707856,9.59385654628791e-90,1.75537593995362e-86
"Os04g0206200",3931.30252905569,-4.46584156801783,0.222441524833812,-20.0764743514247,1.18513447067803e-89,2.04087127229996e-86
"Os07g0158900",1701.67912995646,-6.11117640394861,0.305985178144475,-19.9721321176646,9.62555839206074e-89,1.56549012181988e-85
"Os03g0226200",19699.4480414952,-3.93764296231801,0.198608674798691,-19.826137837681,1.77129645768431e-87,2.72919493677412e-84
"Os07g0215200",1259.3227613935,7.68365650391122,0.394277731562179,19.4879291647225,1.38993035559635e-84,2.03451055800416e-81
"Os06g0720000",1106.25055819826,-6.74134764124728,0.348285458451279,-19.355811383065,1.8210439182957e-83,2.53862193848127e-80
"Os08g0205100",1080.33786838421,4.42884114173343,0.23644064134908,18.7313023533662,2.75103121718906e-78,3.66074722196407e-75
"Os07g0281000",4104.91585631838,1.93594935847905,0.105743165179253,18.3080330080652,7.14028634703774e-75,9.08834273084912e-72
"Os03g0111600",2273.31777206748,1.94589690013094,0.107433969499576,18.112491879383,2.53986828210014e-73,3.09811016493673e-70
"Os05g0155000",860.389949816837,-6.29547483771488,0.348129631060591,-18.0837086993585,4.28282968725607e-73,4.84144579935532e-70
"Os05g0281400",687.578853656228,7.21743256310723,0.399117231101098,18.0834902647414,4.29983230685699e-73,4.84144579935532e-70
"Os03g0183200",4960.93232751204,2.80627427228622,0.156277081458859,17.9570430039352,4.22736426678792e-72,4.58355884852653e-69
"Os04g0565750",968.058577865314,7.99236724135596,0.445843775690152,17.9263851535979,7.33994516036726e-72,7.67417480606255e-69
"Os07g0539300",5139.46281433086,4.37343803379062,0.248021344420928,17.633313148921,1.36715671476622e-69,1.380121131889e-66
"Os06g0621500",416.693952986465,-7.17461966127482,0.410766050533602,-17.4664377738975,2.5811578771158e-68,2.5187798950855e-65
"Os04g0194800",563.692350490248,-3.0189728262843,0.177814413447119,-16.9782233496056,1.19035251615115e-64,1.12411515839758e-61
